datum;maximalni denní teplota;urhn srazek;mraz;parno;dest
2017-01-01;-6,0;1,1;true;false;true
2017-01-02;-4,7;0,2;true;false;true
2017-01-03;1,7;0,0;false;false;false
2017-01-04;3,3;0,0;false;false;false
2017-01-05;1,9;4,1;false;false;true
2017-01-06;-5,5;1,0;true;false;true
2017-01-07;-7,2;0,0;true;false;false
2017-01-08;-7,5;2,6;true;false;true
2017-01-09;-3,6;3,3;true;false;true
2017-01-10;-6,5;0,0;true;false;false
2017-01-11;-4,4;0,1;true;false;true
2017-01-12;4,5;0,0;false;false;false
2017-01-13;4,9;0,0;false;false;false
2017-01-14;2,4;0,0;false;false;false
2017-01-15;2,0;0,0;false;false;false
2017-01-16;-2,5;0,0;true;false;false
2017-01-17;-0,4;4,1;true;false;true
2017-01-18;-1,7;3,5;true;false;true
2017-01-19;-5,9;3,1;true;false;true
2017-01-20;-3,8;0,0;true;false;false
2017-01-21;-1,6;0,6;true;false;true
2017-01-22;-0,9;0,4;true;false;true
2017-01-23;-3,0;0,0;true;false;false
2017-01-24;-3,9;0,0;true;false;false
2017-01-25;-0,1;0,0;true;false;false
2017-01-26;0,9;0,0;false;false;false
2017-01-27;-1,6;0,0;true;false;false
2017-01-28;-6,1;0,0;true;false;false
2017-01-29;-6,0;0,0;true;false;false
2017-01-30;-6,9;0,0;true;false;false
2017-01-31;-4,2;0,0;true;false;false
2017-02-01;-0,2;3,5;true;false;true
2017-02-02;0,5;0,0;false;false;false
2017-02-03;2,3;0,4;false;false;true
2017-02-04;2,3;0,0;false;false;false
2017-02-05;5,7;0,5;false;false;true
2017-02-06;3,2;1,0;false;false;true
2017-02-07;2,3;0,0;false;false;false
2017-02-08;-1,2;0,0;true;false;false
2017-02-09;-2,7;0,0;true;false;false
2017-02-10;1,8;0,0;false;false;false
2017-02-11;1,7;0,0;false;false;false
2017-02-12;2,8;0,0;false;false;false
2017-02-13;0,9;0,0;false;false;false
2017-02-14;3,5;0,0;false;false;false
2017-02-15;7,5;0,0;false;false;false
2017-02-16;5,9;0,0;false;false;false
2017-02-17;1,6;2,2;false;false;true
2017-02-18;6,0;0,0;false;false;false
2017-02-19;3,3;0,0;false;false;false
2017-02-20;5,8;2,5;false;false;true
2017-02-21;9,8;1,3;false;false;true
2017-02-22;12,2;1,4;false;false;true
2017-02-23;12,4;0,0;false;false;false
2017-02-24;11,0;0,0;false;false;false
2017-02-25;7,3;0,0;false;false;false
2017-02-26;7,0;0,0;false;false;false
2017-02-27;11,5;0,0;false;false;false
2017-02-28;10,6;0,0;false;false;false
2017-03-01;10,8;1,1;false;false;true
2017-03-02;13,9;0,2;false;false;true
2017-03-03;12,6;0,0;false;false;false
2017-03-04;18,6;0,0;false;false;false
2017-03-05;14,1;4,1;false;false;true
2017-03-06;10,9;1,0;false;false;true
2017-03-07;9,9;0,0;false;false;false
2017-03-08;11,5;2,6;false;false;true
2017-03-09;12,0;3,3;false;false;true
2017-03-10;8,8;0,0;false;false;false
2017-03-11;10,7;0,1;false;false;true
2017-03-12;9,2;0,0;false;false;false
2017-03-13;11,7;0,0;false;false;false
2017-03-14;13,3;0,0;false;false;false
2017-03-15;13,7;0,0;false;false;false
2017-03-16;15,1;0,0;false;false;false
2017-03-17;17,0;4,1;false;false;true
2017-03-18;12,1;3,5;false;false;true
2017-03-19;9,7;3,1;false;false;true
2017-03-20;16,3;0,0;false;false;false
2017-03-21;16,0;0,6;false;false;true
2017-03-22;12,4;0,4;false;false;true
2017-03-23;11,4;0,0;false;false;false
2017-03-24;13,5;0,0;false;false;false
2017-03-25;13,4;0,0;false;false;false
2017-03-26;11,7;0,0;false;false;false
2017-03-27;15,8;0,0;false;false;false
2017-03-28;20,2;0,0;false;false;false
2017-03-29;21,6;0,0;false;false;false
2017-03-30;17,3;0,0;false;false;false
2017-03-31;20,4;0,0;false;false;false
2017-04-01;21,8;0,0;false;false;false
2017-04-02;23,4;0,0;false;false;false
2017-04-03;20,8;0,0;false;false;false
2017-04-04;19,0;0,0;false;false;false
2017-04-05;15,3;0,6;false;false;true
2017-04-06;11,1;0,6;false;false;true
2017-04-07;10,0;1,6;false;false;true
2017-04-08;14,7;0,0;false;false;false
2017-04-09;17,9;0,0;false;false;false
