MISTO;2;;;;2017-01-03 07:32:00.000;námìstí 28. dubna, Brno
1.kvìtna-43;1;;;;2017-01-05 13:23:00.000;námìstí 28. dubna 2, Brno-Bystrc
Absolonova;39;;;;2017-01-05 14:20:00.000;námìstí 28. øíjna 17, Brno-Èerná Pole
Adamcova;11;;;;2017-01-09 14:13:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Adamovská;25;;;;2017-01-11 00:10:00.000;námìstí 28. dubna 42, Brno-Bystrc
Akademická;73;;;;2017-01-16 09:30:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Akátová;1;;;;2017-01-16 09:31:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Alešova;12;;;;2017-01-16 09:33:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Ambroova;1;;;;2017-01-16 14:54:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Amerlingova;22;;;;2017-01-16 15:21:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Andrıskova;2;;;;2017-01-19 10:50:00.000;námìstí 28. dubna 48, Brno-Bystrc
Anenská;61;;;;2017-01-19 11:36:00.000;námìstí 28. dubna 38, Brno-Bystrc
Antala staška;14;;;;2017-01-25 09:19:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Antonína macka;54;;;;2017-01-25 09:19:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Antonína procházky;3;;;;2017-01-25 09:19:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Antonína slavíka;11;;;;2017-01-25 09:19:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Antonínská;335;;;;2017-01-25 09:38:00.000;námìstí 28. øíjna 3, Brno-Èerná Pole
Arbesova;21;;;;2017-01-25 09:57:00.000;námìstí 28. øíjna 23, Brno-Èerná Pole
Arménská;18;;;;2017-01-27 09:02:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Arne nováka;9;;;;2017-01-27 09:05:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Auerswaldova;1;;;;2017-01-27 09:06:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Axmanova;13;;;;2017-01-27 09:27:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Azurová;5;;;;2017-01-27 09:29:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Baarovo nábøeí;6;;;;2017-01-27 09:30:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
