DATUM;poèet;den_v_tydnu;
2017-01-01;33;8;8 = státní svátek
2017-01-02;216;2;anglické poèítání
2017-01-03;332;3;1 = nedìle
2017-01-04;325;4;
2017-01-05;224;5;
2017-01-06;309;6;
2017-01-07;167;7;
2017-01-08;88;1;
2017-01-09;317;2;
2017-01-10;244;3;
2017-01-11;275;4;
2017-01-12;156;5;
2017-01-13;269;6;
2017-01-14;123;7;
2017-01-15;110;1;
2017-01-16;288;2;
2017-01-17;262;3;
2017-01-18;331;4;
2017-01-19;254;5;
2017-01-20;262;6;
2017-01-21;171;7;
2017-01-22;141;1;
2017-01-23;297;2;
2017-01-24;374;3;
2017-01-25;391;4;
2017-01-26;357;5;
2017-01-27;337;6;
2017-01-28;190;7;
2017-01-29;139;1;
2017-01-30;348;2;
2017-01-31;124;3;
2017-02-01;204;4;
2017-02-02;197;5;
2017-02-03;245;6;
2017-02-04;175;7;
2017-02-05;140;1;
2017-02-06;379;2;
2017-02-07;434;3;
2017-02-08;463;4;
2017-02-09;443;5;
2017-02-10;341;6;
2017-02-11;251;7;
2017-02-12;219;1;
2017-02-13;394;2;
2017-02-14;407;3;
2017-02-15;402;4;
2017-02-16;340;5;
2017-02-17;360;6;
2017-02-18;202;7;
2017-02-19;220;1;
2017-02-20;445;2;
2017-02-21;471;3;
2017-02-22;472;4;
2017-02-23;378;5;
2017-02-24;385;6;
2017-02-25;295;7;
2017-02-26;179;1;
2017-02-27;472;2;
2017-02-28;477;3;
2017-03-01;420;4;
2017-03-02;520;5;
2017-03-03;430;6;
2017-03-04;159;7;
2017-03-05;200;1;
2017-03-06;493;2;
2017-03-07;449;3;
2017-03-08;476;4;
2017-03-09;380;5;
2017-03-10;420;6;
2017-03-11;197;7;
2017-03-12;143;1;
2017-03-13;410;2;
2017-03-14;362;3;
2017-03-15;406;4;
2017-03-16;332;5;
2017-03-17;291;6;
2017-03-18;204;7;
2017-03-19;228;1;
2017-03-20;546;2;
2017-03-21;550;3;
2017-03-22;512;4;
2017-03-23;439;5;
2017-03-24;379;6;
2017-03-25;162;7;
2017-03-26;204;1;
2017-03-27;355;2;
2017-03-28;390;3;
2017-03-29;463;4;
2017-03-30;359;5;
2017-03-31;353;6;
2017-04-01;181;7;
2017-04-02;220;1;
2017-04-03;457;2;
2017-04-04;406;3;
2017-04-05;440;4;
2017-04-06;359;5;
2017-04-07;359;6;
2017-04-08;160;7;
2017-04-09;190;1;
2017-04-10;454;2;
2017-04-11;455;3;
2017-04-12;438;4;
2017-04-13;390;5;
2017-04-14;111;8;
2017-04-15;82;7;
2017-04-16;73;1;
2017-04-17;88;8;
2017-04-18;412;3;
2017-04-19;393;4;
2017-04-20;457;5;
2017-04-21;484;6;
2017-04-22;169;7;
2017-04-23;172;1;
2017-04-24;552;2;
2017-04-25;453;3;
2017-04-26;521;4;
2017-04-27;492;5;
2017-04-28;267;6;
2017-04-29;148;7;
2017-04-30;160;1;
2017-05-01;176;8;
2017-05-02;543;3;
2017-05-03;468;4;
2017-05-04;440;5;
2017-05-05;416;6;
2017-05-06;210;7;
2017-05-07;171;1;
2017-05-08;213;8;
2017-05-09;486;3;
2017-05-10;499;4;
2017-05-11;403;5;
2017-05-12;326;6;
2017-05-13;149;7;
2017-05-14;162;1;
2017-05-15;472;2;
2017-05-16;459;3;
2017-05-17;386;4;
2017-05-18;363;5;
2017-05-19;352;6;
2017-05-20;150;7;
2017-05-21;183;1;
2017-05-22;379;2;
2017-05-23;408;3;
2017-05-24;422;4;
2017-05-25;403;5;
2017-05-26;363;6;
2017-05-27;168;7;
2017-05-28;168;1;
2017-05-29;346;2;
2017-05-30;400;3;
2017-05-31;384;4;
2017-06-01;424;5;
2017-06-02;343;6;
2017-06-03;228;7;
2017-06-04;125;1;
2017-06-05;446;2;
2017-06-06;377;3;
2017-06-07;391;4;
2017-06-08;372;5;
2017-06-09;416;6;
2017-06-10;120;7;
2017-06-11;116;1;
