MISTO;2
Pellicova;2249
Veveøí;2098
Kounicova;2091
Benešova;1819
Dornych;1731
Palackého tøída;1435
Hybešova;1435
Veselá;1413
Nádraní;1387
Rooseveltova;1342
Obilní trh;1303
Makovského námìstí;1246
Údolní;1222
Uhelná;1200
Pekaøská;1106
Zelnı trh;1075
tøída Kpt. Jaroše;1034
Purkyòova;974
Netroufalky;971
Helfertova;869
Biskupská;826
Rakovecká;822
Lidická;811
Bratislavská;728
Merhautova;707
Kapucínské námìstí;686
Mojmírovo námìstí;652
Èernopolní;641
Polní;627
Za divadlem;626
Botanická;609
Sokolova;596
Hlinky;594
Oblá;586
Mezírka;586
Hrázní;584
Smetanova;565
Mendlovo námìstí;562
Svratecká;560
Kubíèkova;558
Jugoslávská;552
Kopeèná;523
Štefánikova;517
Dominikánské námìstí;515
Cejl;507
Gorkého;483
Palcary;464
Vinièní;461
Björnsenùv sad;461
Sváná;458
Mozartova;453
Pøadlácká;446
Køídlovická;440
Jezuitská;430
Poøíèí;426
Šumavská;425
Petra køivky;421
Hrnèíøská;414
Bìhounská;399
Trnkova;395
Orlí;389
námìstí 28. øíjna;386
Gorazdova;379
Táborská;378
Starobrnìnská;369
Minská;349
Úvoz;348
Vídeòská;347
Seifertova;346
Ponávka;339
Moravské námìstí;338
Pøístavní;337
Antonínská;335
Teyschlova;330
Gajdošova;329
Køenová;321
Husova;312
Holandská;312
Dìlnická;307
Jihlavská;306
Dlouhá;301
Èerného;297
Staòkova;297
Jana uhra;295
Hnìvkovského;294
Václavská;292
Provazníkova;291
Mášova;288
Zahradníkova;285
Vaòhalova;278
Dunajská;273
Zemìdìlská;269
Pod kaštany;267
Beethovenova;267
Voøíškova;263
U pošty;254
Kotláøská;253
Vranovská;250
Rybkova;250
Stará osada;247
Bezruèova;247
Pálavské námìstí;243
Bubeníèkova;242
Divadelní;232
Rokytova;226
Husitská;222
Trnitá;221
Jánská;221
Vodní;220
Technická;219
Petrská;219
Bašty;218
Novolíšeòská;217
Hlavní;216
Cihláøská;214
Malinovského námìstí;210
Drobného;209
námìstí svobody;208
Pøíkop;207
Døevaøská;207
U vodárny;204
Jakubské námìstí;203
erotínovo námìstí;202
Sukova;202
Luánecká;200
Novobranská;197
Horova;197
Nové sady;196
Šilingrovo námìstí;195
Zahradnická;195
Jiráskova;191
Bakalovo nábøeí;188
Kolištì;187
Koniklecová;186
Vıstavní;184
Bayerova;182
Sochorova;179
Radnická;179
Vodova;178
Nerudova;178
Libušina tøída;178
Bieblova;178
Srbská;177
Hvìzdová;176
Kolejní;175
Zborovská;174
Kamenice;173
Zapletalova;171
Masarykova;171
Klatovská;169
Dvoøákova;169
Dukelská tøída;169
Èápkova;167
Veslaøská;166
Støední;164
Boetìchova;156
Traubova;154
Hradecká;154
Rolnická;153
ikova;152
Studánka;150
Solnièní;150
Úzká;148
Mathonova;148
Velkopavlovická;146
Prušánecká;146
Renneská tøída;142
Mlınská;141
Josefská;140
Obvodová;139
Nádvorní;139
Vlhká;135
Joštova;134
Øípská;133
Ukrajinská;131
Spodní;131
Soukenická;129
Nováèkova;129
Neuilova;129
Uzbecká;128
Tuèkova;127
Chodská;126
Krásného;124
Havlenova;124
Plotní;122
Netopırky;122
Tkalcovská;121
Svatopluka èecha;120
Hostinského;120
Trıbova;119
Skøivanova;118
Okrouhlá;118
Lıskova;118
Laštùvkova;117
Labská;117
Horácké námìstí;117
Rerychova;116
Skácelova;114
námìstí 28. dubna;113
Pøírodní;113
Opletalova;113
Lány;113
Poštovská;112
Bulharská;112
Plovdivská;111
Vrchlického sad;109
Tábor;108
námìstí snp;107
Kuldova;107
Skandinávská;106
Podnikatelská;106
Kurská;106
Kozí;105
Jaselská;105
Grohova;105
Molákova;104
Kobliná;104
Terezy novákové;103
Markùvky;103
Jana babáka;103
ebìtínská;102
Èernohorská;102
Vìstonická;102
Vojtova;102
Foltınova;102
Vychodilova;101
Svatoplukova;101
Pøíèní;101
Luèní;101
Lazaretní;100
Sevastopolská;99
Burešova;99
Kraví hora;98
tøída Generála Píky;97
Kamenná;97
Gruzínská;96
Sirotkova;95
Rumištì;95
Jakubská;95
Štouraèova;93
Skopalíkova;93
Bellova;93
Milady horákové;92
Bzenecká;92
Zámecká;91
Halasovo námìstí;91
Sportovní;90
Líšeòská;90
Klímova;90
Kyjevská;89
Berkova;89
Tyršova;88
Slavíèkova;88
Kuršova;88
Tuøanka;87
Kamínky;87
Bosonoská;87
Slovanské námìstí;86
Boøetická;86
Palachovo námìstí;85
Kovaøovicova;85
námìstí republiky;84
Studentská;84
Køiíkova;84
Cornovova;82
Bøezinova;82
Skoøepka;81
Lesnická;81
Františkánská;81
Praská;80
Hoppova;80
Moldavská;79
Herèíkova;79
Valouškova;78
Rotalova;78
Poznaòská;78
Opavská;78
Novomìstská;78
Záhøebská;77
Pastviny;77
Kšírova;77
K babì;77
Hálkova;77
Durïákova;77
Špitálka;76
Sokolská;75
Zoubkova;74
Nopova;74
Švermova;73
Zvìøinova;73
Synkova;73
Akademická;73
Škroupova;72
U zoologické zahrady;72
Olomoucká;72
Josefy faimonové;72
Dubová;72
Èechyòská;71
Zámeènická;71
Wollmanova;70
Panská;70
Foerstrova;69
Charbulova;69
Vondrákova;68
Leitnerova;68
Hrázka;68
Blatnická;67
Opálkova;66
Korejská;66
Stránského;65
Kubánská;64
Eèerova;64
Vejrostova;63
Elišky krásnohorské;63
Ve vaòkovce;62
Tìsnohlídkova;62
Rašínova;62
Havelkova;62
Øezáèova;61
Masná;61
Konopná;61
Hromádkova;61
Anenská;61
Šámalova;60
Øehoøova;60
Ulièka;60
Jemelkova;60
Špilberk;59
Sušilova;59
Charvatská;59
Veletrní;58
Pod nemocnicí;58
Mánesova;58
Mikulovská;58
Královopolská;58
Hutaøova;58
Heršpická;58
Haškova;58
Turgenìvova;57
Plachty;57
Holzova;57
Bohuòova;57
Èeòka rùièky;56
Vinaøská;56
V újezdech;56
Sedláèkova;56
kounicova;55
Drustevní;55
Dominikánská;55
Valtická;54
Svitavská;54
Stamicova;54
Oøechovská;54
Dvorského;54
Antonína macka;54
Štìpánská;53
námìstí svornosti;53
Medlánecká;53
Klusáèkova;53
Kamechy;53
Voronìská;52
Pod mniší horou;52
Obøanská;52
Kvìtináøská;52
Zdráhalova;51
Slovákova;51
Jírovcova;51
Stojanova;50
Broíkova;50
Boeny nìmcové;50
Tvrdého;49
Slámova;49
Pavlovská;49
Oderská;48
V aleji;47
Soubìná;47
Rybáøská;47
Hudcova;47
itná;46
U høištì;46
Podpíseèná;46
Gabriely preissové;46
Luná;45
Hvozdecká;45
Mikuláškovo námìstí;44
Maškova;44
