ulice,město,celkem,dopravní
1. Května,Brno,1,
Absolonova,Brno,39,30
Adamcova,Brno,11,10
Adamovská,Brno,25,25
Akademická,Brno,73,73
Akátky,Brno,2,
Akátová,Brno,1,1
Alešova,Brno,12,12
Ambrožova,Brno,1,1
Amerlingova,Brno,22,22
Andrýskova,Brno,2,2
Anenská,Brno,61,60
Antala Staška,Brno,14,13
Antonína Macka,Brno,54,53
Antonína Procházky,Brno,3,3
Antonína Slavíka,Brno,11,11
Antonínská,Brno,335,331
Arbesova,Brno,21,18
Arménská,Brno,18,17
Arne Nováka,Brno,9,9
Auerswaldova,Brno,1,1
Axmanova,Brno,13,7
Azurová,Brno,5,5
Baarovo Nábřeží,Brno,6,5
Babická,Brno,2,2
Babičkova,Brno,25,24
Bakalovo Nábřeží,Brno,188,167
Balbínova,Brno,4,4
Banskobystrická,Brno,17,17
Bartolomějská,Brno,4,1
Bartošova,Brno,8,8
Bartákova,Brno,7,4
Barvičova,Brno,7,7
Barvy,Brno,10,10
Barvířská,Brno,35,35
Bauerova,Brno,7,6
Bayerova,Brno,182,168
Bačovského,Brno,1,
Bašného,Brno,38,37
Bašty,Brno,218,187
Bednaříkova,Brno,2,
Bednářova,Brno,4,
Bedřichovická,Brno,1,
Beethovenova,Brno,268,263
Belcrediho,Brno,1,
Bellova,Brno,93,89
Bendlova,Brno,8,8
Benešova,Brno,1819,1548
Berkova,Brno,89,86
Bernáčkova,Brno,1,
Besední,Brno,23,23
Bezejmenná,Brno,3,3
Bezinková,Brno,1,
Bezručova,Brno,247,245
Bešůvka,Brno,3,2
Bidláky,Brno,11,11
Bieblova,Brno,178,162
Biskupská,Brno,826,825
Björnsenův Sad,Brno,461,453
Blanenská,Brno,1,1
Blatnická,Brno,67,62
Blatného,Brno,15,15
Blatouchová,Brno,29,26
Blažkova,Brno,13,7
Blažovická,Brno,4,4
Blodkova,Brno,5,5
Blümlova,Brno,2,2
Bochořákova,Brno,18,18
Boettingrova,Brno,13,4
Bohatcova,Brno,1,1
Bohunická,Brno,30,28
Bohuslava Martinů,Brno,29,29
Bohuňova,Brno,57,57
Bolzanova,Brno,24,22
Borky,Brno,14,14
Borodinova,Brno,9,9
Boskovická,Brno,4,4
Bosonožská,Brno,87,82
Bosonožské Náměstí,Brno,22,18
Botanická,Brno,609,597
Bořetická,Brno,86,76
Bořivojova,Brno,3,3
Boženy Němcové,Brno,50,50
Božetěchova,Brno,156,148
Brandlova,Brno,29,29
Branka,Brno,1,
Bratislavská,Brno,728,717
Bratří Křičků,Brno,2,2
Bratří Mrštíků,Brno,3,2
Bratří Pelíšků,Brno,4,4
Bratří Čapků,Brno,31,31
Bratří Žůrků,Brno,4,2
Brechtova,Brno,19,17
Breitcetlova,Brno,4,3
Brigádnická,Brno,2,2
Brno,Brno,10,8
Brněnky,Brno,5,5
Broskvoňová,Brno,5,5
Brožíkova,Brno,50,45
Bráfova,Brno,33,29
Bubeníčkova,Brno,242,118
Buchtova,Brno,5,4
Budovcova,Brno,2,1
Buková,Brno,1,1
Bulharská,Brno,112,109
Burešova,Brno,99,97
Burianovo Náměstí,Brno,22,22
Buzkova,Brno,25,24
Bučkova,Brno,3,1
Bučovická,Brno,4,2
Bystrcká,Brno,8,3
Bystřinova,Brno,21,21
Bzenecká,Brno,92,78
Bílovická,Brno,7,7
Bílá Hora,Brno,2,
Bílého,Brno,2,2
Bítešská,Brno,2,2
Böhmova,Brno,4,4
Běhounská,Brno,399,395
Bělidla,Brno,5,5
Bělohorská,Brno,35,26
Běloruská,Brno,33,28
Běly Pažoutové,Brno,5,5
Břeclavská,Brno,6,4
Břenkova,Brno,30,30
Březinova,Brno,82,79
Březová,Brno,41,40
Cacovice,Brno,15,
Cacovická,Brno,33,22
Cejl,Brno,507,487
Celní,Brno,1,1
Chalabalova,Brno,12,7
Chaloupeckého Náměstí,Brno,38,37
Chaloupkova,Brno,4,4
Chaloupky,Brno,13,10
Charbulova,Brno,69,57
Charvatská,Brno,59,57
Chelčického,Brno,10,9
Chironova,Brno,7,3
Chleborádova,Brno,2,2
Chlubnova,Brno,1,1
Chlupova,Brno,18,18
Chládkova,Brno,34,29
Chmelnice,Brno,2,1
Chodská,Brno,126,114
Chopinova,Brno,36,33
Chrlická,Brno,12,10
Chrlické Náměstí,Brno,3,2
Chrpová,Brno,14,4
Chudobova,Brno,3,3
Chudčická,Brno,36,36
Churého,Brno,5,3
Chvalovka,Brno,32,32
Cihlářská,Brno,214,207
Cimburkova,Brno,13,3
Colova,Brno,8,8
Cornovova,Brno,82,42
Cyrilská,Brno,16,12
Dalimilova,Brno,22,20
Dačického,Brno,13,13
Demlova,Brno,3,3
Denisovy Sady,Brno,12,
Desátková,Brno,10,10
Dillingerova,Brno,2,2
Divadelní,Brno,232,229
Divišova,Brno,1,1
Dlouhá,Brno,301,218
Dlouhé Hony,Brno,6,6
Dlážděná,Brno,1,
Dobrovského,Brno,44,34
Doležalova,Brno,14,13
Dolnopolní,Brno,5,
Dolní Louky,Brno,3,3
Domažlická,Brno,21,21
Dominikánská,Brno,55,52
Dominikánské Náměstí,Brno,515,503
Dornych,Brno,1731,657
Došlíkova,Brno,43,41
Drdy,Brno,3,2
Drobného,Brno,209,207
Družstevní,Brno,55,54
Drápelova,Brno,2,2
Drážní,Brno,19,18
Drčkova,Brno,6,6
Dubová,Brno,72,55
Dudíkova,Brno,1,1
Dufkovo Nábřeží,Brno,5,
Dukelská Třída,Brno,169,167
Dulánek,Brno,9,9
Dunajevského,Brno,14,14
Dunajská,Brno,273,235
Durďákova,Brno,77,73
Dusíkova,Brno,18,5
Dvorecká,Brno,3,2
Dvorského,Brno,54,7
Dvořiště,Brno,2,2
Dvořákova,Brno,169,168
Dykova,Brno,2,2
Díly,Brno,1,1
Dědická,Brno,34,14
Dělnická,Brno,307,306
Dřevařská,Brno,207,186
Eimova,Brno,4,4
Eleonory Voračické,Brno,19,19
Elgartova,Brno,7,6
Eliášova,Brno,1,1
Elišky Krásnohorské,Brno,63,59
Elišky Machové,Brno,11,10
Elišky Přemyslovny,Brno,6,5
Elplova,Brno,8,5
Erbenova,Brno,5,5
Evropská,Brno,1,1
Ečerova,Brno,64,30
Faměrovo Náměstí,Brno,1,
Fanderlíkova,Brno,10,4
Farní,Brno,1,
Farského,Brno,1,
Ferrerova,Brno,3,3
Filipova,Brno,37,33
Filipínského,Brno,6,4
Filkukova,Brno,1,1
Fillova,Brno,42,38
Firemní,Brno,1,1
Fišova,Brno,10,10
Fleischnerova,Brno,28,26
Florianova,Brno,43,42
Foerstrova,Brno,69,66
Foltýnova,Brno,102,98
Foustkova,Brno,2,2
Francouzská,Brno,43,41
Františky Skaunicové,Brno,3,3
Františky Stránecké,Brno,4,4
Františkánská,Brno,81,79
Franzova,Brno,3,3
Fričova,Brno,3,3
Fryčajova,Brno,29,24
Fügnerova,Brno,8,6
Gabriely Preissové,Brno,46,45
Gajdošova,Brno,329,325
Galandauerova,Brno,11,11
Gallašova,Brno,10,9
Gargulákova,Brno,9,7
Gebauerova,Brno,28,27
Geislerova,Brno,31,29
Gellnerova,Brno,1,1
Glinkova,Brno,19,15
Glocova,Brno,1,1
Goldova,Brno,1,
