ulice;poèet doprava
1. Kvìtna;1
Absolonova;9
Adamcova;1
Akátky;2
Anenská;1
Antala Staška;1
Antonína Macka;1
Antonínská;4
Arbesova;3
Arménská;1
Axmanova;6
Baarovo Nábøeí;1
Babièkova;1
Bakalovo Nábøeí;21
Bartolomìjská;3
Bartákova;3
Bauerova;1
Bayerova;14
Baèovského;1
Bašného;1
Bašty;31
Bednaøíkova;2
Bednáøova;4
Bedøichovická;1
Beethovenova;5
Belcrediho;1
Bellova;4
Benešova;271
Berkova;3
Bernáèkova;1
Bezinková;1
Bezruèova;2
Bešùvka;1
Bieblova;16
Biskupská;1
Björnsenùv Sad;8
Blatnická;5
Blatouchová;3
Blakova;6
Boettingrova;9
Bohunická;2
Bolzanova;2
Bosonoská;5
Bosonoské Námìstí;4
Botanická;12
Boøetická;10
Boetìchova;8
Branka;1
Bratislavská;11
Bratøí Mrštíkù;1
Bratøí ùrkù;2
Brechtova;2
Breitcetlova;1
Brno;2
Broíkova;5
Bráfova;4
Bubeníèkova;124
Buchtova;1
Budovcova;1
Bulharská;3
Burešova;2
Buzkova;1
Buèkova;2
Buèovická;2
Bystrcká;5
Bzenecká;14
Bílá Hora;2
Bìhounská;4
Bìlohorská;9
Bìloruská;5
Bøeclavská;2
Bøezinova;3
Bøezová;1
Cacovice;15
Cacovická;11
Cejl;20
Chalabalova;5
Chaloupeckého Námìstí;1
Chaloupky;3
Charbulova;12
Charvatská;2
Chelèického;1
Chironova;4
Chládkova;5
Chmelnice;1
Chodská;12
Chopinova;3
Chrlická;2
Chrlické Námìstí;1
Chrpová;10
Churého;2
Cihláøská;7
Cimburkova;10
Cornovova;40
Cyrilská;4
Dalimilova;2
Denisovy Sady;12
Divadelní;3
Dlouhá;83
Dládìná;1
Dobrovského;10
Dolealova;1
Dolnopolní;5
Dominikánská;3
Dominikánské Námìstí;12
Dornych;1074
Došlíkova;2
Drdy;1
Drobného;2
Drustevní;1
Drání;1
Dubová;17
Dufkovo Nábøeí;5
Dukelská Tøída;2
Dunajská;38
Durïákova;4
Dusíkova;13
Dvorecká;1
Dvorského;47
Dvoøákova;1
Dìdická;20
Dìlnická;1
Døevaøská;21
Elgartova;1
Elišky Krásnohorské;4
Elišky Machové;1
Elišky Pøemyslovny;1
Elplova;3
Eèerova;34
Famìrovo Námìstí;1
Fanderlíkova;6
Farní;1
Farského;1
Filipova;4
Filipínského;2
Fillova;4
Fleischnerova;2
Florianova;1
Foerstrova;3
Foltınova;4
Francouzská;2
Františkánská;2
Fryèajova;5
Fügnerova;2
Gabriely Preissové;1
Gajdošova;4
Gallašova;1
Gargulákova;2
Gebauerova;1
Geislerova;2
Glinkova;4
Goldova;1
Gorazdova;2
Gorkého;4
Grmelova;1
Grohova;3
Gruzínská;3
Haasova;2
Halasovo Námìstí;42
Hanácká;4
Hapalova;6
Havelkova;3
Havlenova;10
Havraní;2
Haškova;4
Heleny Malíøové;5
Herèíkova;7
Heršpická;38
Heydukova;1
Heyrovského;1
Hladíkova;1
Hlavní;5
Hlinky;3
Hliník;2
Hluboká;1
Hnìvkovského;7
Hoblíkova;10
Hochmanova;3
Hodonínská;6
Holandská;15
Holzova;2
Hoppova;2
Horní;2
Horníkova;5
Horova;6
Horská;1
Horymírova;1
Horácké Námìstí;8
Horákova;1
Houbalova;13
Hoštická;2
Hradecká;115
Hranièky;2
Hrnèíøská;13
Hromádkova;1
Hroznová;2
Hrozòatova;1
Hrázka;2
Hrázní;44
Hubrova;3
Hudcova;6
Husitská;5
Husova;2
Husovická;4
Hutaøova;1
Hviezdoslavova;6
Hvozdecká;1
Hvìzdová;5
Hybešova;16
Hájkova;3
Hálkova;3
Húskova;6
Ibsenova;1
Irkutská;3
Ivanovické Námìstí;1
Jabloòová;1
Jahodová;4
Jakuba Obrovského;7
Jakubské Námìstí;1
Jana Babáka;6
Jana Svobody;1
Jana Uhra;16
Janouškova;7
Jarní;2
Jasanová;7
Jedovnická;7
Jemelkova;2
Jeneweinova;6
Jeronımova;1
Jezerní;1
Jezuitská;9
Jeèná;1
Jekova;2
Jihlavská;11
Jihomoravské Námìstí;9
Jilemnického;1
Jindøichova;4
Jircháøe;1
Jiránkova;2
Jiráskova;1
Jiní Námìstí;1
Josefská;11
Josefy Faimonové;13
Joštova;6
Jubilejní;3
Jugoslávská;17
Juliánovské Námìstí;24
Jundrovská;3
Jungmannova;1
Juranka;1
Jánošíkova;2
Jánská;3
Jílkova;8
Jílová;18
Jírova;23
Jírovcova;7
K Babì;2
K Bukovinám;1
K Lesu;1
K Západi;5
Kachlíkova;4
Kallabova;1
Kamanova;1
Kamechy;41
Kamenice;71
Kamenná;3
Kameníèkova;1
Kamínky;7
Kapucínské Námìstí;2
Karkulínova;1
Karolíny Svìtlé;2
Kartouzská;3
Karáskovo Námìstí;5
Kavèí;1
Kaštanová;11
Ke Statku;1
Klajdovská;1
Klatovská;106
Klimešova;6
Klobásova;1
Kluchova;1
Klášterského;3
Klímova;41
Kneslova;10
Knínièská;9
Kobliná;4
Kobylnická;2
Kociánka;3
Kohoutovická;3
Kolaøíkova;4
Kolejní;53
Kolištì;8
Kollárova;1
Kolískova;1
Komenského Námìstí;1
Komprdova;1
Komárovské Nábøeí;2
