Ulice,Mesto,Pocet
Pellicova,Brno,2249
Veveří,Brno,2098
Kounicova,Brno,2091
Benešova,Brno,1819
Dornych,Brno,1731
Palackého třída,Brno,1435
Hybešova,Brno,1435
Veselá,Brno,1413
Nádražní,Brno,1387
Rooseveltova,Brno,1342
Obilní trh,Brno,1303
Makovského náměstí,Brno,1246
Údolní,Brno,1222
Uhelná,Brno,1200
Pekařská,Brno,1106
Zelný trh,Brno,1075
třída Kpt. Jaroše,Brno,1034
Purkyňova,Brno,974
Netroufalky,Brno,971
Helfertova,Brno,869
Biskupská,Brno,826
Rakovecká,Brno,822
Lidická,Brno,811
Bratislavská,Brno,728
Merhautova,Brno,707
Kapucínské náměstí,Brno,686
Mojmírovo náměstí,Brno,652
Černopolní,Brno,641
Polní,Brno,627
Za divadlem,Brno,626
Botanická,Brno,609
Sokolova,Brno,596
Hlinky,Brno,594
Oblá,Brno,586
Mezírka,Brno,586
Hrázní,Brno,584
Smetanova,Brno,565
Mendlovo náměstí,Brno,562
Svratecká,Brno,560
Kubíčkova,Brno,558
Jugoslávská,Brno,552
Kopečná,Brno,523
Štefánikova,Brno,517
Dominikánské náměstí,Brno,515
Cejl,Brno,507
Gorkého,Brno,483
Palcary,Brno,464
Viniční,Brno,461
Björnsenův sad,Brno,461
Svážná,Brno,458
Mozartova,Brno,453
Přadlácká,Brno,446
Křídlovická,Brno,440
Jezuitská,Brno,430
Poříčí,Brno,426
Šumavská,Brno,425
Petra křivky,Brno,421
Hrnčířská,Brno,414
Běhounská,Brno,399
Trnkova,Brno,395
Orlí,Brno,389
náměstí 28. října,Brno,386
Gorazdova,Brno,379
Táborská,Brno,378
Starobrněnská,Brno,369
Minská,Brno,349
Úvoz,Brno,348
Vídeňská,Brno,347
Seifertova,Brno,346
Ponávka,Brno,339
Moravské náměstí,Brno,338
Přístavní,Brno,337
Antonínská,Brno,335
Teyschlova,Brno,330
Gajdošova,Brno,329
Křenová,Brno,321
Husova,Brno,312
Holandská,Brno,312
Dělnická,Brno,307
Jihlavská,Brno,306
Dlouhá,Brno,301
Černého,Brno,297
Staňkova,Brno,297
Jana uhra,Brno,295
Hněvkovského,Brno,294
Václavská,Brno,292
Provazníkova,Brno,291
Mášova,Brno,288
Zahradníkova,Brno,285
Vaňhalova,Brno,278
Dunajská,Brno,273
Zemědělská,Brno,269
Pod kaštany,Brno,267
Beethovenova,Brno,267
Voříškova,Brno,263
U pošty,Brno,254
Kotlářská,Brno,253
Vranovská,Brno,250
Rybkova,Brno,250
Stará osada,Brno,247
Bezručova,Brno,247
Pálavské náměstí,Brno,243
Bubeníčkova,Brno,242
Divadelní,Brno,232
Rokytova,Brno,226
Husitská,Brno,222
Trnitá,Brno,221
Jánská,Brno,221
Vodní,Brno,220
Technická,Brno,219
Petrská,Brno,219
Bašty,Brno,218
Novolíšeňská,Brno,217
Hlavní,Brno,216
Cihlářská,Brno,214
Malinovského náměstí,Brno,210
Drobného,Brno,209
náměstí svobody,Brno,208
Příkop,Brno,207
Dřevařská,Brno,207
U vodárny,Brno,204
Jakubské náměstí,Brno,203
Žerotínovo náměstí,Brno,202
Sukova,Brno,202
Lužánecká,Brno,200
Novobranská,Brno,197
Horova,Brno,197
Nové sady,Brno,196
Šilingrovo náměstí,Brno,195
Zahradnická,Brno,195
Jiráskova,Brno,191
Bakalovo nábřeží,Brno,188
Koliště,Brno,187
Koniklecová,Brno,186
Výstavní,Brno,184
Bayerova,Brno,182
Sochorova,Brno,179
Radnická,Brno,179
Vodova,Brno,178
Nerudova,Brno,178
