MISTO;Ulice;
Pellicova;Brno;2249
Veveøí;Brno;2098
Kounicova;Brno;2091
Benešova;Brno;1819
Dornych;Brno;1731
Palackého tøída;Brno;1435
Hybešova;Brno;1435
Veselá;Brno;1413
Nádraní;Brno;1387
Rooseveltova;Brno;1342
Obilní trh;Brno;1303
Makovského námìstí;Brno;1246
Údolní;Brno;1222
Uhelná;Brno;1200
Pekaøská;Brno;1106
Zelnı trh;Brno;1075
tøída Kpt. Jaroše;Brno;1034
Purkyòova;Brno;974
Netroufalky;Brno;971
Helfertova;Brno;869
Biskupská;Brno;826
Rakovecká;Brno;822
Lidická;Brno;811
Bratislavská;Brno;728
Merhautova;Brno;707
Kapucínské námìstí;Brno;686
Mojmírovo námìstí;Brno;652
Èernopolní;Brno;641
Polní;Brno;627
Za divadlem;Brno;626
Botanická;Brno;609
Sokolova;Brno;596
Hlinky;Brno;594
Oblá;Brno;586
Mezírka;Brno;586
Hrázní;Brno;584
Smetanova;Brno;565
Mendlovo námìstí;Brno;562
Svratecká;Brno;560
Kubíèkova;Brno;558
Jugoslávská;Brno;552
Kopeèná;Brno;523
Štefánikova;Brno;517
Dominikánské námìstí;Brno;515
Cejl;Brno;507
Gorkého;Brno;483
Palcary;Brno;464
Vinièní;Brno;461
Björnsenùv sad;Brno;461
Sváná;Brno;458
Mozartova;Brno;453
Pøadlácká;Brno;446
Køídlovická;Brno;440
Jezuitská;Brno;430
Poøíèí;Brno;426
Šumavská;Brno;425
Petra køivky;Brno;421
Hrnèíøská;Brno;414
Bìhounská;Brno;399
Trnkova;Brno;395
Orlí;Brno;389
námìstí 28. øíjna;Brno;386
Gorazdova;Brno;379
Táborská;Brno;378
Starobrnìnská;Brno;369
Minská;Brno;349
Úvoz;Brno;348
Vídeòská;Brno;347
Seifertova;Brno;346
Ponávka;Brno;339
Moravské námìstí;Brno;338
Pøístavní;Brno;337
Antonínská;Brno;335
Teyschlova;Brno;330
Gajdošova;Brno;329
Køenová;Brno;321
Husova;Brno;312
Holandská;Brno;312
Dìlnická;Brno;307
Jihlavská;Brno;306
Dlouhá;Brno;301
Èerného;Brno;297
Staòkova;Brno;297
Jana uhra;Brno;295
Hnìvkovského;Brno;294
Václavská;Brno;292
Provazníkova;Brno;291
Mášova;Brno;288
Zahradníkova;Brno;285
Vaòhalova;Brno;278
Dunajská;Brno;273
Zemìdìlská;Brno;269
Pod kaštany;Brno;267
Beethovenova;Brno;267
Voøíškova;Brno;263
U pošty;Brno;254
Kotláøská;Brno;253
Vranovská;Brno;250
Rybkova;Brno;250
Stará osada;Brno;247
Bezruèova;Brno;247
Pálavské námìstí;Brno;243
Bubeníèkova;Brno;242
Divadelní;Brno;232
Rokytova;Brno;226
Husitská;Brno;222
Trnitá;Brno;221
Jánská;Brno;221
Vodní;Brno;220
