ULICE,město,POCET celkem,POCET doprava
1. Května,Brno,1,1
Absolonova,Brno,39,9
Adamcova,Brno,11,1
Adamovská,Brno,25,
Akademická,Brno,73,
Akátky,Brno,2,2
Akátová,Brno,1,
Alešova,Brno,12,
Ambrožova,Brno,1,
Amerlingova,Brno,22,
Andrýskova,Brno,2,
Anenská,Brno,61,1
Antala Staška,Brno,14,1
Antonína Macka,Brno,54,1
Antonína Procházky,Brno,3,
Antonína Slavíka,Brno,11,
Antonínská,Brno,335,4
Arbesova,Brno,21,3
Arménská,Brno,18,1
Arne Nováka,Brno,9,
Auerswaldova,Brno,1,
Axmanova,Brno,13,6
Azurová,Brno,5,
Baarovo Nábřeží,Brno,6,1
Babická,Brno,2,
Babičkova,Brno,25,1
Bakalovo Nábřeží,Brno,188,21
Balbínova,Brno,4,
Banskobystrická,Brno,17,
Bartolomějská,Brno,4,3
Bartošova,Brno,8,
Bartákova,Brno,7,3
Barvičova,Brno,7,
Barvy,Brno,10,
Barvířská,Brno,35,
Bauerova,Brno,7,1
Bayerova,Brno,182,14
Bačovského,Brno,1,1
Bašného,Brno,38,1
Bašty,Brno,218,31
Bednaříkova,Brno,2,2
Bednářova,Brno,4,4
Bedřichovická,Brno,1,1
Beethovenova,Brno,268,5
Belcrediho,Brno,1,1
Bellova,Brno,93,4
Bendlova,Brno,8,
Benešova,Brno,1819,271
Berkova,Brno,89,3
Bernáčkova,Brno,1,1
Besední,Brno,23,
Bezejmenná,Brno,3,
Bezinková,Brno,1,1
Bezručova,Brno,247,2
Bešůvka,Brno,3,1
Bidláky,Brno,11,
Bieblova,Brno,178,16
Biskupská,Brno,826,1
Björnsenův Sad,Brno,461,8
Blanenská,Brno,1,
Blatnická,Brno,67,5
Blatného,Brno,15,
Blatouchová,Brno,29,3
Blažkova,Brno,13,6
Blažovická,Brno,4,
Blodkova,Brno,5,
Blümlova,Brno,2,
Bochořákova,Brno,18,
Boettingrova,Brno,13,9
Bohatcova,Brno,1,
Bohunická,Brno,30,2
Bohuslava Martinů,Brno,29,
Bohuňova,Brno,57,
Bolzanova,Brno,24,2
Borky,Brno,14,
Borodinova,Brno,9,
Boskovická,Brno,4,
Bosonožská,Brno,87,5
Bosonožské Náměstí,Brno,22,4
Botanická,Brno,609,12
Bořetická,Brno,86,10
Bořivojova,Brno,3,
Boženy Němcové,Brno,50,
Božetěchova,Brno,156,8
Brandlova,Brno,29,
Branka,Brno,1,1
Bratislavská,Brno,728,11
Bratří Křičků,Brno,2,
Bratří Mrštíků,Brno,3,1
Bratří Pelíšků,Brno,4,
Bratří Čapků,Brno,31,
Bratří Žůrků,Brno,4,2
Brechtova,Brno,19,2
Breitcetlova,Brno,4,1
Brigádnická,Brno,2,
Brno,Brno,10,2
Brněnky,Brno,5,
Broskvoňová,Brno,5,
Brožíkova,Brno,50,5
Bráfova,Brno,33,4
Bubeníčkova,Brno,242,124
Buchtova,Brno,5,1
Budovcova,Brno,2,1
Buková,Brno,1,
Bulharská,Brno,112,3
Burešova,Brno,99,2
Burianovo Náměstí,Brno,22,
Buzkova,Brno,25,1
Bučkova,Brno,3,2
Bučovická,Brno,4,2
Bystrcká,Brno,8,5
Bystřinova,Brno,21,
Bzenecká,Brno,92,14
Bílovická,Brno,7,
Bílá Hora,Brno,2,2
Bílého,Brno,2,
Bítešská,Brno,2,
Böhmova,Brno,4,
Běhounská,Brno,399,4
Bělidla,Brno,5,
Bělohorská,Brno,35,9
Běloruská,Brno,33,5
Běly Pažoutové,Brno,5,
Břeclavská,Brno,6,2
Břenkova,Brno,30,
Březinova,Brno,82,3
Březová,Brno,41,1
Cacovice,Brno,15,15
Cacovická,Brno,33,11
Cejl,Brno,507,20
Celní,Brno,1,
Chalabalova,Brno,12,5
Chaloupeckého Náměstí,Brno,38,1
Chaloupkova,Brno,4,
Chaloupky,Brno,13,3
Charbulova,Brno,69,12
Charvatská,Brno,59,2
Chelčického,Brno,10,1
Chironova,Brno,7,4
Chleborádova,Brno,2,
Chlubnova,Brno,1,
Chlupova,Brno,18,
Chládkova,Brno,34,5
Chmelnice,Brno,2,1
Chodská,Brno,126,12
Chopinova,Brno,36,3
Chrlická,Brno,12,2
Chrlické Náměstí,Brno,3,1
Chrpová,Brno,14,10
Chudobova,Brno,3,
Chudčická,Brno,36,
Churého,Brno,5,2
Chvalovka,Brno,32,
Cihlářská,Brno,214,7
Cimburkova,Brno,13,10
Colova,Brno,8,
Cornovova,Brno,82,40
Cyrilská,Brno,16,4
Dalimilova,Brno,22,2
Dačického,Brno,13,
Demlova,Brno,3,
Denisovy Sady,Brno,12,12
Desátková,Brno,10,
Dillingerova,Brno,2,
Divadelní,Brno,232,3
Divišova,Brno,1,
Dlouhá,Brno,301,83
Dlouhé Hony,Brno,6,
Dlážděná,Brno,1,1
Dobrovského,Brno,44,10
Doležalova,Brno,14,1
Dolnopolní,Brno,5,5
Dolní Louky,Brno,3,
Domažlická,Brno,21,
Dominikánská,Brno,55,3
Dominikánské Náměstí,Brno,515,12
Dornych,Brno,1731,1074
Došlíkova,Brno,43,2
Drdy,Brno,3,1
Drobného,Brno,209,2
Družstevní,Brno,55,1
Drápelova,Brno,2,
Drážní,Brno,19,1
Drčkova,Brno,6,
Dubová,Brno,72,17
Dudíkova,Brno,1,
Dufkovo Nábřeží,Brno,5,5
Dukelská Třída,Brno,169,2
Dulánek,Brno,9,
Dunajevského,Brno,14,
Dunajská,Brno,273,38
Durďákova,Brno,77,4
Dusíkova,Brno,18,13
Dvorecká,Brno,3,1
Dvorského,Brno,54,47
Dvořiště,Brno,2,
Dvořákova,Brno,169,1
Dykova,Brno,2,
Díly,Brno,1,
Dědická,Brno,34,20
Dělnická,Brno,307,1
Dřevařská,Brno,207,21
Eimova,Brno,4,
Eleonory Voračické,Brno,19,
Elgartova,Brno,7,1
Eliášova,Brno,1,
Elišky Krásnohorské,Brno,63,4
Elišky Machové,Brno,11,1
Elišky Přemyslovny,Brno,6,1
Elplova,Brno,8,3
Erbenova,Brno,5,
Evropská,Brno,1,
Ečerova,Brno,64,34
Faměrovo Náměstí,Brno,1,1
Fanderlíkova,Brno,10,6
Farní,Brno,1,1
Farského,Brno,1,1
Ferrerova,Brno,3,
Filipova,Brno,37,4
Filipínského,Brno,6,2
Filkukova,Brno,1,
Fillova,Brno,42,4
Firemní,Brno,1,
Fišova,Brno,10,
Fleischnerova,Brno,28,2
Florianova,Brno,43,1
Foerstrova,Brno,69,3
Foltýnova,Brno,102,4
Foustkova,Brno,2,
Francouzská,Brno,43,2
Františky Skaunicové,Brno,3,
Františky Stránecké,Brno,4,
Františkánská,Brno,81,2
Franzova,Brno,3,
Fričova,Brno,3,
Fryčajova,Brno,29,5
Fügnerova,Brno,8,2
Gabriely Preissové,Brno,46,1
Gajdošova,Brno,329,4
Galandauerova,Brno,11,
Gallašova,Brno,10,1
Gargulákova,Brno,9,2
Gebauerova,Brno,28,1
Geislerova,Brno,31,2
Gellnerova,Brno,1,
Glinkova,Brno,19,4
Glocova,Brno,1,
Goldova,Brno,1,1
Gorazdova,Brno,379,2
Gorkého,Brno,483,4
Grmelova,Brno,38,1
Grohova,Brno,105,3
Gromešova,Brno,3,
Gruzínská,Brno,96,3
Haasova,Brno,19,2
Habřinova,Brno,1,
Halasovo Náměstí,Brno,91,42
Hansmannova,Brno,15,
Hanácká,Brno,6,4
Hapalova,Brno,28,6
Havelkova,Brno,62,3
Havlenova,Brno,124,10
Havlišova,Brno,26,
Havláskova,Brno,1,
Havlíčkova,Brno,35,
Havraní,Brno,7,2
Havránkova,Brno,32,
Haškova,Brno,58,4
Heinrichova,Brno,19,
Helceletova,Brno,2,
Heleny Malířové,Brno,41,5
Helenčina,Brno,13,
Helfertova,Brno,869,
Herbenova,Brno,3,
Herčíkova,Brno,79,7
Heršpická,Brno,58,38
Heydukova,Brno,1,1
Heyrovského,Brno,38,1
Heřmánková,Brno,1,
Hilleho,Brno,28,
Hladíkova,Brno,1,1
Hlavní,Brno,216,5
Hlaváčkova,Brno,15,
Hlaváčova,Brno,12,
Hlinky,Brno,594,3
Hliník,Brno,2,2
Hluboká,Brno,1,1
Hněvkovského,Brno,294,7
Hoblíkova,Brno,30,10
